A;B;C
27.11.19;1.100900000;0.908347716
28.11.19;1.100500000;0.908677874
02.12.19;1.102300000;0.907194049
03.12.19;1.107100000;0.903260771
04.12.19;1.108100000;0.902445628
05.12.19;1.109400000;0.901388138
06.12.19;1.109400000;0.901388138
09.12.19;1.107500000;0.902934537
10.12.19;1.107700000;0.902771509
11.12.19;1.107500000;0.902934537
12.12.19;1.113700000;0.897907875
13.12.19;1.117400000;0.894934670
16.12.19;1.114600000;0.897182846
17.12.19;1.116200000;0.895896793
18.12.19;1.111500000;0.899685110
19.12.19;1.111700000;0.899523253
20.12.19;1.109700000;0.901144453
23.12.19;1.107500000;0.902934537
24.12.19;1.108000000;0.902527076
27.12.19;1.115300000;0.896619744
30.12.19;1.118900000;0.893734918
31.12.19;1.123400000;0.890154887
31.12.19;1.123400000;0.890154887
